magnitude,depth,latitude,longitude,Year,Month,is_ocean,is_steep_slope,horizontal_count_1y_full,vertical_count_1y_full,tsunami,usgs_match_count
5.5,21.043,-27.1542,-71.2479,2023,9,1,1,0,0,0,1
6.3,36.0,-30.2775,-71.536,2023,9,1,1,0,1,0,1
6.2,554.0,-26.9212,-63.3389,2023,8,0,0,2,2,0,1
6.2,575.0,-28.2143,-63.1854,2023,8,0,0,2,2,0,1
6.6,186.0,-38.1911,-70.3731,2023,7,0,0,1,0,0,1
5.5,12.851,30.7637,131.39,2023,8,1,0,0,0,0,1
5.4,18.0,37.1933,116.381,2023,8,0,0,0,0,0,1
5.8,442.0,42.0873,134.055,2023,6,1,0,0,0,0,1
5.6,314.0,45.8086,143.124,2023,6,1,0,0,0,0,1
5.8,30.0,44.2539,148.635,2023,9,1,1,0,0,0,1
5.7,12.765,30.9578,141.833,2023,9,1,1,0,0,0,1
5.8,8.0,31.0125,141.989,2023,9,1,1,0,0,0,1
5.5,51.0,38.5129,141.641,2023,9,1,0,0,0,0,1
5.2,40.452,38.9566,142.101,2023,9,1,0,0,0,0,1
5.9,34.0,41.1222,142.845,2023,8,1,0,0,2,0,1
5.5,12.851,30.7637,131.39,2023,8,1,0,0,0,0,1
6.5,31.0,44.5796,148.99,2023,12,1,1,0,1,0,1
5.8,42.0,41.168,142.247,2023,11,1,0,0,2,0,1
5.8,84.0,45.9031,151.003,2023,11,1,0,0,0,0,1
5.6,77.731,44.9541,149.755,2023,11,1,1,0,0,0,1
6.9,20.0,8.9571,126.628,2023,12,1,1,3,5,1,1
6.0,13.0,8.7176,126.897,2023,12,1,1,3,5,0,1
5.4,28.046,8.65,127.021,2023,12,1,1,3,5,0,1
5.4,16.406,9.0123,126.773,2023,12,1,1,3,5,0,1
5.8,442.0,42.0873,134.055,2023,6,1,0,0,0,0,1
5.6,314.0,45.8086,143.124,2023,6,1,0,0,0,0,1
5.5,8.0,30.786,142.041,2023,10,1,1,0,0,0,1
5.6,10.0,31.0695,141.884,2023,10,1,1,0,0,0,1
5.8,209.0,36.4512,70.7023,2023,8,0,0,0,2,0,1
5.3,53.0,41.746,49.2837,2023,7,1,0,0,0,0,1
5.8,12.0,9.1263,126.869,2023,12,1,1,3,5,0,1
6.3,46.378,8.4439,126.919,2023,12,1,1,3,5,0,1
5.1,181.278,-40.1882,173.572,2023,8,1,0,0,0,0,1
5.4,39.269,41.1549,49.7415,2023,12,1,0,0,0,0,1
5.4,43.301,8.0495,126.606,2023,12,1,1,3,5,0,1
7.6,40.0,8.5266,126.449,2023,12,1,1,3,5,1,1
6.0,102.0,1.7425,127.153,2023,11,1,1,3,0,0,1
6.7,52.0,5.5872,125.051,2023,11,1,1,1,1,1,1
5.8,289.0,1.9752,124.137,2023,11,1,1,0,0,0,1
5.2,42.657,-9.9023,123.7,2023,11,0,1,0,1,0,1
5.7,13.0,11.4641,125.922,2023,11,1,1,0,0,0,1
5.7,401.457,-31.3282,179.732,2023,10,1,0,0,2,0,1
5.5,11.712,-43.7064,171.118,2023,9,0,0,0,0,0,1
5.7,481.974,-7.0459,117.215,2023,8,1,0,0,1,0,1
5.5,514.072,-6.8134,116.618,2023,8,1,0,0,1,0,1
7.1,500.0,-6.7768,116.568,2023,8,1,0,0,1,1,1
5.5,45.057,23.1278,90.927,2023,12,0,0,0,0,0,1
5.2,10.0,39.2438,97.2769,2023,12,0,0,0,0,0,1
5.8,42.0,41.168,142.247,2023,11,1,0,0,2,0,1
5.8,84.0,45.9031,151.003,2023,11,1,0,0,0,0,1
5.2,25.706,27.8679,84.7191,2023,10,0,1,0,0,0,1
5.7,13.0,29.5163,81.2118,2023,10,0,1,0,0,0,1
5.3,36.648,24.9743,92.2176,2023,8,0,0,0,0,0,1
5.8,209.0,36.4512,70.7023,2023,8,0,0,0,2,0,1
6.1,51.0,-10.0109,123.713,2023,11,0,1,0,1,0,1
5.4,24.286,1.7869,120.193,2023,10,1,0,0,0,0,1
5.5,10.0,-7.6308,125.855,2023,10,1,1,0,0,0,1
5.9,8.494,7.4373,126.299,2023,10,0,1,1,0,0,1
6.4,113.0,5.3416,126.06,2023,10,1,1,1,0,0,1
5.9,94.0,4.7296,127.501,2023,9,1,1,0,1,0,1
6.0,151.0,1.1251,127.479,2023,9,0,1,2,0,0,1
6.0,13.0,0.0054,119.771,2023,9,1,0,1,0,0,1
5.6,512.824,-6.8155,116.552,2023,9,1,0,0,1,0,1
6.1,10.0,30.044,140.005,2023,10,1,0,2,2,0,1
5.7,10.0,30.0036,139.831,2023,10,1,0,2,2,0,1
5.4,10.0,29.99,139.968,2023,10,1,0,2,2,0,1
5.5,8.0,30.786,142.041,2023,10,1,1,0,0,0,1
5.6,10.0,31.0695,141.884,2023,10,1,1,0,0,0,1
5.7,15.733,21.226,99.333,2023,11,0,0,0,0,0,1
5.3,7.204,40.5164,77.7055,2023,11,0,1,0,0,0,1
5.7,12.0,28.8879,82.195,2023,11,0,0,0,0,0,1
6.5,31.0,44.5796,148.99,2023,12,1,1,0,1,0,1
5.8,30.0,44.2539,148.635,2023,9,1,1,0,0,0,1
5.7,12.765,30.9578,141.833,2023,9,1,1,0,0,0,1
5.8,8.0,31.0125,141.989,2023,9,1,1,0,0,0,1
5.5,51.0,38.5129,141.641,2023,9,1,0,0,0,0,1
5.2,40.452,38.9566,142.101,2023,9,1,0,0,0,0,1
5.9,34.0,41.1222,142.845,2023,8,1,0,0,2,0,1
5.5,12.851,30.7637,131.39,2023,8,1,0,0,0,0,1
5.8,442.0,42.0873,134.055,2023,6,1,0,0,0,0,1
5.6,314.0,45.8086,143.124,2023,6,1,0,0,0,0,1
5.6,77.731,44.9541,149.755,2023,11,1,1,0,0,0,1
5.9,31.0,24.0602,122.646,2023,10,1,1,0,0,0,1
5.7,13.261,25.1583,125.542,2023,10,1,0,1,0,0,1
5.7,14.0,-14.3528,-76.474,2023,12,1,1,0,0,0,1
6.0,253.0,-22.8844,-66.2242,2023,10,0,0,1,1,0,1
5.6,571.448,-23.6067,-63.6564,2023,10,0,0,0,0,0,1
5.7,8.0,-27.3252,-71.5543,2023,9,1,1,0,0,0,1
5.3,110.914,-20.6514,-68.5222,2023,9,0,0,0,0,0,1
5.5,21.043,-27.1542,-71.2479,2023,9,1,1,0,0,0,1
6.5,31.0,44.5796,148.99,2023,12,1,1,0,1,0,1
5.8,42.0,41.168,142.247,2023,11,1,0,0,2,0,1
5.8,84.0,45.9031,151.003,2023,11,1,0,0,0,0,1
5.6,77.731,44.9541,149.755,2023,11,1,1,0,0,0,1
5.9,31.0,24.0602,122.646,2023,10,1,1,0,0,0,1
6.1,10.0,30.044,140.005,2023,10,1,0,2,2,0,1
5.7,10.0,30.0036,139.831,2023,10,1,0,2,2,0,1
5.4,10.0,29.99,139.968,2023,10,1,0,2,2,0,1
5.5,8.0,30.786,142.041,2023,10,1,1,0,0,0,1
5.6,10.0,31.0695,141.884,2023,10,1,1,0,0,0,1
5.7,12.765,30.9578,141.833,2023,9,1,1,0,0,0,1
6.2,554.0,-26.9212,-63.3389,2023,8,0,0,2,2,0,1
5.4,40.35,-3.2512,-79.8994,2023,8,0,1,1,0,0,1
5.4,23.218,-16.1071,-75.0833,2023,8,1,1,0,0,0,1
5.8,8.0,31.0125,141.989,2023,9,1,1,0,0,0,1
5.5,51.0,38.5129,141.641,2023,9,1,0,0,0,0,1
5.2,40.452,38.9566,142.101,2023,9,1,0,0,0,0,1
5.9,34.0,41.1222,142.845,2023,8,1,0,0,2,0,1
5.5,12.851,30.7637,131.39,2023,8,1,0,0,0,0,1
5.6,4.0,21.895,121.583,2023,7,1,1,2,0,0,1
5.8,442.0,42.0873,134.055,2023,6,1,0,0,0,0,1
5.6,314.0,45.8086,143.124,2023,6,1,0,0,0,0,1
5.7,13.261,25.1583,125.542,2023,10,1,0,1,0,0,1
6.1,10.0,30.044,140.005,2023,10,1,0,2,2,0,1
5.7,10.0,30.0036,139.831,2023,10,1,0,2,2,0,1
5.8,16.0,-38.0756,-73.8819,2023,12,1,1,0,0,0,1
5.4,101.15,-28.6909,-70.3075,2023,10,0,1,0,0,0,1
6.0,253.0,-22.8844,-66.2242,2023,10,0,0,1,1,0,1
5.6,571.448,-23.6067,-63.6564,2023,10,0,0,0,0,0,1
5.8,30.0,44.2539,148.635,2023,9,1,1,0,0,0,1
5.5,575.691,-6.1198,113.147,2023,8,1,0,0,1,0,1
5.7,8.0,-27.3252,-71.5543,2023,9,1,1,0,0,0,1
5.3,110.914,-20.6514,-68.5222,2023,9,0,0,0,0,0,1
5.5,21.043,-27.1542,-71.2479,2023,9,1,1,0,0,0,1
6.3,36.0,-30.2775,-71.536,2023,9,1,1,0,1,0,1
6.2,554.0,-26.9212,-63.3389,2023,8,0,0,2,2,0,1
6.2,575.0,-28.2143,-63.1854,2023,8,0,0,2,2,0,1
6.6,186.0,-38.1911,-70.3731,2023,7,0,0,1,0,0,1
5.7,99.0,-33.2122,-70.3268,2023,7,0,1,0,0,0,1
5.8,42.0,41.168,142.247,2023,11,1,0,0,2,0,1
5.9,31.0,24.0602,122.646,2023,10,1,1,0,0,0,1
5.7,13.261,25.1583,125.542,2023,10,1,0,1,0,0,1
5.4,10.0,29.99,139.968,2023,10,1,0,2,2,0,1
5.5,8.0,30.786,142.041,2023,10,1,1,0,0,0,1
5.6,10.0,31.0695,141.884,2023,10,1,1,0,0,0,1
5.7,12.765,30.9578,141.833,2023,9,1,1,0,0,0,1
5.8,8.0,31.0125,141.989,2023,9,1,1,0,0,0,1
5.5,51.0,38.5129,141.641,2023,9,1,0,0,0,0,1
5.2,40.452,38.9566,142.101,2023,9,1,0,0,0,0,1
5.9,34.0,41.1222,142.845,2023,8,1,0,0,2,0,1
5.4,54.787,-7.435,105.536,2023,8,1,1,0,0,0,1
5.7,13.0,29.5163,81.2118,2023,10,0,1,0,0,0,1
5.3,53.0,41.746,49.2837,2023,7,1,0,0,0,0,1
5.7,99.0,-33.2122,-70.3268,2023,7,0,1,0,0,0,1
5.4,39.269,41.1549,49.7415,2023,12,1,0,0,0,0,1
5.5,13.116,37.5831,35.9568,2023,7,0,0,3,0,0,1
5.3,53.0,41.746,49.2837,2023,7,1,0,0,0,0,1
5.2,9.462,-7.3035,27.9327,2023,10,0,0,0,0,0,1
5.8,16.0,-38.0756,-73.8819,2023,12,1,1,0,0,0,1
