Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,tsunami,mag,Vol,More Info,Deposits,Country,Location Name,latitude,longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Abe),Tsunami Magnitude (Iida),Tsunami Intensity,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
,2007,3,25,0,41,57.8,4,1,6.7,,,0,JAPAN,HONSHU: W COAST,37.336,136.588,0.1,6,,,,,,,,,,,,,,,,1.0,1.0,,,359.0,3.0,,3.0,13556.0,4.0,,
,2007,4,1,20,39,56.3,4,1,8.1,,,0,SOLOMON ISLANDS,SOLOMON ISLANDS,-8.46,157.044,12.1,247,,,,50.0,1.0,,,,,,3.0,2500.0,4.0,,,52.0,2.0,,,,,,3.0,2500.0,4.0,500.0,3.0
,2007,7,16,1,13,22.0,4,1,6.6,,,0,JAPAN,HONSHU: W COAST,37.57,138.478,,1,,,,,,,,,,,,,,,,9.0,1.0,,,1088.0,4.0,,3.0,875.0,3.0,,
,2007,8,2,2,37,42.3,4,1,6.2,,,0,RUSSIA,TATAR STRAIT,47.116,141.798,3.2,18,,,,,,,,,,,,,,,,2.0,1.0,,,14.0,1.0,347.7,4.0,11.0,1.0,20.0,1.0
,2007,8,2,3,21,42.8,4,1,6.7,,,0,USA,"ALEUTIAN ISLANDS, AK",51.307,-179.971,0.03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,8,15,23,40,57.8,4,1,8.0,,,0,PERU,S. PERU,-13.386,-76.603,10.05,141,,,,3.0,1.0,,,,,,1.0,,1.0,,,596.0,3.0,,,1292.0,4.0,600.0,4.0,93708.0,4.0,45813.0,4.0
,2007,9,2,1,5,18.1,4,1,7.2,,,0,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,-11.61,165.762,0.05,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,9,12,11,10,26.8,4,1,8.4,,,0,INDONESIA,SUMATRA,-4.438,101.367,5.0,56,,,,,,,,,,,1.0,,,,2.0,25.0,1.0,,,161.0,3.0,,3.0,56425.0,4.0,,
,2007,9,30,5,23,34.0,4,1,7.4,,,0,NEW ZEALAND,AUCKLAND ISLANDS,-49.418,163.954,0.35,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,11,14,15,40,50.5,4,1,7.7,,,0,CHILE,NORTHERN CHILE,-22.247,-69.89,0.28,7,,,,,,,,,,,,,,,,2.0,1.0,,,65.0,2.0,,3.0,,4.0,,
