"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""2001 <= Year >= 2012"",""Cause Code = 1"",""Earthquake Magnitude >= 5.0""]"																																													
	2006	7	17	8	19	26	4	1	7.7			4	"INDONESIA"	"SOUTH OF JAVA"	-9.284	107.419	20.9	211	8.1			802	3			498	3	55	4	1623	4			802	3			498	3	55	4	1623	4		
	2006	9	28	6	22	9.7	4	1	6.9			0	"SAMOA"	"SAMOA ISLANDS"	-16.592	-172.033	0.08	1																											
	2006	10	15	17	7	49.2	4	1	6.7			0	"USA"	"HAWAII"	19.878	-155.935	0.1	1																					3	150	4				
	2006	10	23	21	17	19	4	1	6.4			0	"JAPAN"	"IZU ISLANDS, JAPAN"	29.351	140.27	0.16	5																											
	2006	11	13	8	2	44.4	4	1	5.2			0	"TAIWAN"	"SOUTH CHINA SEA"	20.656	119.997	0.15	1																											
	2006	11	15	11	14	13.5	4	1	8.3			3	"RUSSIA"	"S. KURIL ISLANDS"	46.592	153.266	21.9	261								1	1		2									1	1		2				
	2006	12	26	12	26	21.4	4	1	7			0	"TAIWAN"	"TAIWAN"	21.799	120.547	0.12	7																2	1			40	1		1		2		
	2007	1	13	4	23	21.1	4	1	8.1			1	"RUSSIA"	"S. KURIL ISLANDS"	46.243	154.524	0.4	47																											
	2007	3	25	0	40	1.6	4	1	7.1			0	"VANUATU"	"VANUATU ISLANDS"	-20.617	169.357	0.08	2																											
	2007	3	25	0	41	57.8	4	1	6.7			0	"JAPAN"	"HONSHU: W COAST"	37.336	136.588	0.1	6																1	1			359	3		3	13556	4		
	2007	4	1	20	39	56.3	4	1	8.1			0	"SOLOMON ISLANDS"	"SOLOMON ISLANDS"	-8.46	157.044	12.1	247				50	1						3	2500	4			52	2						3	2500	4	500	3
	2007	7	16	1	13	22	4	1	6.6			0	"JAPAN"	"HONSHU: W COAST"	37.57	138.478		1																9	1			1088	4		3	875	3		
	2007	8	2	2	37	42.3	4	1	6.2			0	"RUSSIA"	"TATAR STRAIT"	47.116	141.798	3.2	18																2	1			14	1	347.7	4	11	1	20	1
	2007	8	2	3	21	42.8	4	1	6.7			0	"USA"	"ALEUTIAN ISLANDS, AK"	51.307	-179.971	0.03	1																											
	2007	8	15	23	40	57.8	4	1	8			0	"PERU"	"S. PERU"	-13.386	-76.603	10.05	141				3	1						1		1			596	3			1292	4	600	4	93708	4	45813	4
	2007	9	2	1	5	18.1	4	1	7.2			0	"SOLOMON ISLANDS"	"SANTA CRUZ ISLANDS"	-11.61	165.762	0.05	2																											
	2007	9	12	11	10	26.8	4	1	8.4			0	"INDONESIA"	"SUMATRA"	-4.438	101.367	5	56											1				2	25	1			161	3		3	56425	4		
	2007	9	30	5	23	34	4	1	7.4			0	"NEW ZEALAND"	"AUCKLAND ISLANDS"	-49.418	163.954	0.35	8																											
	2007	11	14	15	40	50.5	4	1	7.7			0	"CHILE"	"NORTHERN CHILE"	-22.247	-69.89	0.28	7																2	1			65	2		3		4		
	2007	11	29	19	0	20.4	1	1	7.4			0	"MARTINIQUE (FRENCH TERRITORY)"	"MARTINIQUE"	14.944	-61.274		0																											
	2007	12	9	7	28	20.8	4	1	7.8			0	"KERMADEC ISLANDS"	"KERMADEC ISLANDS"	-25.996	-177.514	0.03	1																											
	2008	2	25	8	36	33	4	1	6.5			0	"INDONESIA"	"SUMATRA"	-2.486	99.972	0.12	1																							1				2
