magnitude,depth,max_amplitude_bhz,tsunami,is_ocean,is_steep_slope
4.8,40.356,573853,0.0,1,1
4.6,10.0,18463,0.0,1,1
3.18,28.46,272537,0.0,0,1
4.3,30.069,4830,0.0,0,0
3.1,122.673,8715,0.0,0,0
4.2,11.489,65358,0.0,0,0
4.5,10.0,50018,0.0,0,0
3.8,20.804,51345,0.0,1,1
4.0,12.549,42469,0.0,1,0
4.2,94.18,821382,0.0,1,1
3.5,144.278,13869,0.0,1,1
3.0,64.3,3991056,0.0,0,0
3.3,15.5,8704,0.0,1,0
4.1,48.274,44917,0.0,1,0
4.9,10.0,178685,0.0,1,1
4.2,49.233,44611,0.0,1,0
3.0,50.7,139608,0.0,0,0
3.2,10.5,28752,0.0,0,1
4.0,125.077,485593,0.0,1,1
5.4,175.245,79587,0.0,0,0
3.5,196.576,31250,0.0,1,1
4.9,35.0,2851122,0.0,1,1
5.9,10.0,6415147,0.0,1,0
5.7,10.0,407918,0.0,1,1
4.0,12.6,334786,0.0,0,0
3.2,50.0,145400,0.0,1,1
3.46,25.0,48834,0.0,1,1
4.3,61.048,111764,0.0,1,1
4.4,132.645,12995,0.0,0,0
4.4,35.0,326884,0.0,1,1
4.4,67.075,395506,0.0,1,0
5.2,199.672,1604296,0.0,1,0
3.2,34.36,27091,0.0,0,1
3.6,23.704,10459,0.0,1,1
4.3,10.0,27596781,0.0,1,1
4.3,117.155,14575,0.0,0,0
3.05,9.68,54465,0.0,0,0
4.4,249.866,4977,0.0,0,0
4.4,78.64,21430,0.0,0,1
3.47,34.0,57949,0.0,1,1
4.4,10.0,90317,0.0,0,0
3.3,37.26,32835,0.0,1,1
4.4,203.045,6282,0.0,0,0
4.2,176.879,45123,0.0,1,1
5.1,10.0,5008980,0.0,1,1
4.2,199.38,11445,0.0,0,0
3.0,156.7,10627,0.0,0,0
3.2,30.7,47477,0.0,1,1
3.25,14.85,442481,0.0,1,1
4.5,10.0,95316,0.0,0,0
3.8,35.0,18350,0.0,1,1
4.1,215.461,13282,0.0,1,1
3.43,30.34,2612,0.0,1,1
5.3,142.52,1752823,0.0,0,0
4.2,61.606,28866,0.0,0,0
4.6,171.174,11412,0.0,0,0
3.2,35.0,36500,0.0,1,1
4.8,10.0,195364,0.0,0,0
4.9,46.3,616668,1.0,0,0
4.1,10.0,1027083,0.0,0,0
4.6,80.619,77763,0.0,1,1
3.1,45.5,37879,0.0,0,0
4.6,10.0,268964,0.0,1,1
4.0,123.9,11367894,0.0,1,1
3.2,7.69,14866,0.0,0,0
3.6,35.0,216662,0.0,1,1
3.4,10.0,16216,0.0,1,1
4.5,10.0,155261,0.0,0,0
3.0,10.0,19832,0.0,1,1
3.4,27.43,49191,0.0,1,1
3.34,29.38,31745,0.0,1,1
3.1,35.0,27366,0.0,1,1
3.24,29.41,32758,0.0,1,1
3.2,5.0,464042,0.0,0,0
4.5,51.484,3224,0.0,1,0
4.3,118.417,300513,0.0,1,1
4.3,10.0,75774,0.0,1,1
3.3,6.8,25888,0.0,0,0
3.1,29.9,43483,0.0,1,0
5.1,10.0,2095481,0.0,0,0
4.6,9.11,1660187,0.0,0,0
4.5,86.325,24489,0.0,1,1
4.7,85.464,5277220,0.0,1,0
4.7,10.0,199815,0.0,0,0
4.3,10.0,33686,0.0,1,0
4.1,272.915,1432,0.0,0,0
4.6,10.0,16083,0.0,1,1
3.0,9.4,4043525,0.0,0,0
3.3,10.0,20730,0.0,1,1
4.3,10.0,126046,0.0,1,0
4.9,100.915,67477,0.0,0,1
4.5,23.237,7432835,0.0,1,1
4.1,56.37,133095,0.0,1,1
4.4,35.0,61631,0.0,1,0
3.0,5.698,3172,0.0,0,0
3.3,33.83,249685,0.0,0,1
4.3,74.42,7755,0.0,0,0
4.6,10.0,191689,0.0,1,0
3.11,20.31,52288,0.0,1,1
3.3,57.028,5063708,0.0,1,1
4.6,10.0,26427,0.0,1,0
4.6,53.092,4010072,0.0,1,0
4.2,28.11,37,0.0,1,1
3.7,13.8,4046248,0.0,0,0
4.2,200.631,6902,0.0,1,1
4.9,10.0,784256,0.0,1,0
4.7,84.702,125896,0.0,1,1
4.2,31.58,7108,0.0,1,1
3.5,7.2,176995,0.0,0,1
4.3,128.885,7840116,0.0,0,1
5.7,197.0,500090,0.0,1,0
4.4,56.689,107988,0.0,0,1
3.58,68.0,263022,0.0,1,1
4.6,22.64,35865,0.0,1,1
3.1,10.03,6224,0.0,0,0
4.2,125.005,4989415,0.0,1,0
4.2,9.944,25263,0.0,1,0
4.3,353.193,133709,0.0,1,0
4.1,63.956,4636,0.0,0,0
4.3,10.0,7178,0.0,1,1
4.5,10.0,111601,0.0,1,0
4.5,123.757,99875,0.0,1,0
4.0,10.0,104366,0.0,1,0
4.4,79.453,38332,0.0,1,1
3.0,4.3,1454205,0.0,0,0
4.4,10.0,12848,0.0,1,1
4.4,10.0,422870,0.0,1,0
3.1,35.0,105130,0.0,1,1
3.72,48.0,40802,0.0,1,1
3.7,54.215,112613,0.0,1,1
4.5,115.656,7863540,0.0,0,1
4.2,10.0,39469,0.0,0,0
5.5,117.0,16109290,0.0,0,0
4.5,100.109,172220,0.0,0,1
3.6,53.279,33964,0.0,1,1
4.9,10.0,970870,0.0,1,0
4.5,122.743,7789431,0.0,0,1
3.3,9.0109,6722,0.0,0,0
5.3,10.0,1998820,0.0,0,0
4.5,25.932,572428,0.0,0,1
5.0,76.597,931406,0.0,1,1
3.2,35.0,37255,0.0,1,1
5.0,190.477,100438,0.0,0,0
3.8,10.0,20771,0.0,1,0
3.0,46.2,94284,0.0,1,0
3.2,10.0,6864,0.0,1,1
3.3,6.0,131463,0.0,0,1
3.9,20.3,26576,0.0,1,0
4.3,10.0,4948682,0.0,1,1
3.0,32.102,139450,0.0,1,1
4.6,188.353,24625,0.0,0,0
4.4,10.0,12297,0.0,1,1
4.4,76.114,220043,0.0,1,0
4.3,113.199,159161,0.0,0,0
4.3,10.0,30614,0.0,0,1
4.4,28.57,12541,0.0,1,1
3.8,18.4,446727,0.0,0,0
3.85,75.0,123034,0.0,1,0
3.1,35.0,33191,0.0,1,1
4.1,35.0,2517327,0.0,1,0
5.4,6.0,2768333,0.0,0,0
4.5,10.0,123241,0.0,1,0
3.9,66.865,5076331,0.0,1,1
4.0,27.415,1173105,0.0,1,1
3.5,5.5,291699,0.0,0,0
4.06,11.44,1260798,1.0,1,0
3.14,8.87,4124,0.0,0,0
4.6,10.0,401893,0.0,1,1
4.5,35.0,52658,0.0,1,1
3.0,7.0313,7653,0.0,0,0
4.2,208.301,12244,0.0,0,0
3.3,10.0,124289,0.0,1,0
7.5,10.0,39591103,1.0,0,0
4.4,121.933,381132,0.0,1,1
3.1,9.2684,4453,0.0,0,0
3.7,42.9,164312,0.0,1,0
4.4,116.791,7841248,0.0,0,1
4.3,35.0,288705,0.0,1,1
3.22,105.15,32239,0.0,0,1
4.2,10.0,32622,0.0,1,1
3.2,10.1,94594,0.0,0,0
5.1,23.083,15,0.0,1,0
4.5,81.902,70828,0.0,0,0
5.0,10.0,2288409,0.0,1,1
