magnitude,depth,is_ocean,is_steep_slope,horizontal_count_1y_full,vertical_count_1y_full,tsunami
6.5,10.0,1,1,2,0,1
6.6,106.0,1,0,0,1,1
6.5,10.0,1,0,1,0,1
7.5,43.37,1,1,0,10,1
6.6,29.0,1,1,0,10,1
7.2,24.0,0,1,0,3,1
6.6,10.0,1,1,2,2,0
7.4,39.0,1,1,2,2,1
7.6,22.56,1,1,2,2,1
6.6,135.0,0,0,1,2,1
6.5,20.0,1,1,0,10,1
7.1,60.53,1,1,0,10,1
7.7,22.4,1,1,0,11,1
6.5,24.07,1,1,0,11,0
6.9,28.42,1,1,0,11,0
8.2,25.0,1,1,0,11,1
6.7,20.0,1,1,0,4,1
6.8,16.441,1,1,1,0,1
6.5,119.0,1,0,1,0,1
6.5,14.83,1,0,1,0,1
6.9,10.0,0,0,1,0,0
6.5,122.0,1,0,0,3,1
6.5,44.26,1,1,0,1,1
6.5,187.0,1,0,0,2,1
6.5,371.0,1,0,1,1,0
7.7,10.0,1,1,2,1,1
6.9,9.97,1,1,2,1,1
6.6,27.0,0,1,1,0,1
7.1,35.0,1,1,1,2,1
6.6,9.45,1,0,1,0,1
6.8,35.0,1,1,0,3,1
7.1,19.04,0,1,0,1,1
6.6,40.0,1,1,0,1,0
6.7,573.0,1,0,0,3,0
6.5,41.54,1,1,1,0,1
6.8,12.0,0,0,2,0,0
7.1,40.0,1,1,0,1,1
7.7,15.0,0,0,2,0,0
6.5,20.0,1,1,0,5,1
6.5,402.0,1,0,1,1,0
6.5,112.0,1,0,0,2,0
7.0,29.0,1,1,0,1,0
6.5,8.2,0,0,2,0,1
6.7,12.0,1,0,1,0,1
6.5,17.0,1,0,2,0,1
7.3,11.0,1,0,1,0,1
6.6,56.0,0,1,1,1,0
7.3,385.5,1,0,1,4,1
6.6,10.0,1,0,1,0,1
6.5,30.0,1,0,0,2,1
6.7,9.0,1,0,0,1,0
6.7,624.0,1,0,0,1,1
8.3,598.1,1,0,0,1,1
7.4,173.7,1,0,0,1,1
6.8,602.2,1,0,1,0,0
6.5,10.0,1,0,1,4,1
6.6,14.0,0,1,0,1,0
7.2,110.0,1,1,1,1,1
6.6,13.0,1,1,1,0,1
7.7,80.0,0,0,0,1,0
6.6,31.0,1,1,0,1,1
7.0,66.0,0,1,1,0,1
6.5,28.0,1,1,1,1,1
6.5,29.0,1,0,0,3,0
6.9,41.0,1,0,0,1,1
6.6,11.0,0,0,0,1,1
6.6,18.0,1,1,11,9,1
6.9,145.0,0,0,1,1,1
7.1,21.0,1,1,11,9,1
6.8,12.0,1,1,11,9,1
6.7,11.0,1,1,11,9,1
7.0,8.8,1,0,11,8,0
7.1,10.0,1,0,11,8,0
8.0,24.0,1,1,11,8,1
6.9,107.0,0,0,1,0,0
6.8,45.0,0,1,1,1,0
7.5,8.7,1,0,1,0,0
6.7,200.7,1,0,1,2,0
7.1,155.0,1,1,1,0,0
7.3,31.0,1,1,1,1,0
6.5,20.0,1,1,0,4,0
6.8,13.7,0,0,1,0,0
7.4,24.0,1,1,0,4,0
7.8,14.0,0,1,0,3,0
6.5,17.0,0,0,0,3,0
6.6,13.0,1,1,0,1,0
