0,1,2,3,4,5,6,7
서울특별시,종로구,청운효자동,20200831,X,xx,22.479082395,1111051500
서울특별시,종로구,청운효자동,20201023,X,xx,67.437247185,1111051500
서울특별시,종로구,청운효자동,20200825,M,25,22.479082395,1
서울특별시,종로구,청운효자동,20200926,F,20,179.83265916,1111051500
서울특별시,종로구,청운효자동,20201026,F,40,44.95816479,1111051500
서울특별시,종로구,청운효자동,20201029,F,20,134.87449437,1111051500
서울특별시,종로구,청운효자동,20201007,M,55,37.465137325,1111051500
서울특별시,종로구,청운효자동,20201030,F,60,44.95816479,1111051500
서울특별시,종로구,청운효자동,20200927,F,45,89.91632958,1111051500
서울특별시,종로구,청운효자동,20200807,F,35,104.90238451,1111051500
서울특별시,종로구,청운효자동,20201018,F,30,157.35357677,1111051500
서울특별시,종로구,청운효자동,20201017,M,50,22.479082395,1111051500
서울특별시,종로구,청운효자동,20200924,M,20,22.479082395,1111051500
서울특별시,종로구,청운효자동,20200812,F,20,97.409357045,1111051500
서울특별시,종로구,청운효자동,20201015,M,30,67.437247185,1111051500
서울특별시,종로구,청운효자동,20201020,M,45,22.479082395,1111051500
서울특별시,종로구,청운효자동,20201021,M,35,22.479082395,1111051500
서울특별시,종로구,청운효자동,20200811,F,35,37.465137325,1111051500
서울특별시,종로구,청운효자동,20201024,M,30,134.87449437,1
서울특별시,종로구,청운효자동,20200815,F,40,59.94421972,1111051500
서울특별시,종로구,청운효자동,20200825,F,50,29.97210986,1111051500
서울특별시,종로구,청운효자동,20201007,F,55,29.97210986,1111051500
서울특별시,종로구,청운효자동,20200927,F,25,239.77687888,1111051500
서울특별시,종로구,청운효자동,20200912,F,20,97.409357045,1111051500
서울특별시,종로구,청운효자동,20201007,M,40,29.97210986,1111051500
서울특별시,종로구,청운효자동,20200923,F,35,74.93027465,1111051500
서울특별시,종로구,청운효자동,20201014,F,30,82.423302115,1111051500
서울특별시,종로구,청운효자동,20200917,M,45,37.465137325,1111051500
서울특별시,종로구,청운효자동,20200927,F,40,89.91632958,1111051500
서울특별시,종로구,청운효자동,20200829,F,55,52.451192255,1111051500
서울특별시,종로구,청운효자동,20200820,M,45,59.94421972,1111051500
서울특별시,종로구,청운효자동,20200810,M,45,22.479082395,1111051500
서울특별시,종로구,청운효자동,20201014,F,20,29.97210986,1111051500
서울특별시,종로구,청운효자동,20200827,M,55,37.465137325,1111051500
서울특별시,종로구,청운효자동,20200826,M,45,82.423302115,1
서울특별시,종로구,청운효자동,20200929,F,45,29.97210986,1111051500
서울특별시,종로구,청운효자동,20200809,F,40,52.451192255,1111051500
서울특별시,종로구,청운효자동,20201009,F,25,209.80476902,1111051500
서울특별시,종로구,청운효자동,20200814,F,30,104.90238451,1111051500
서울특별시,종로구,청운효자동,20200930,F,20,97.409357045,1111051500
서울특별시,종로구,청운효자동,20200912,M,35,67.437247185,1111051500
서울특별시,종로구,청운효자동,20200829,M,50,37.465137325,1111051500
서울특별시,종로구,청운효자동,20200825,X,xx,74.93027465,1111051500
서울특별시,종로구,청운효자동,20200912,M,40,67.437247185,1111051500
서울특별시,종로구,청운효자동,20200822,M,30,52.451192255,1111051500
서울특별시,종로구,청운효자동,20200912,F,45,59.94421972,1111051500
서울특별시,종로구,청운효자동,20200910,M,50,29.97210986,1111051500
서울특별시,종로구,청운효자동,20201008,F,55,22.479082395,1111051500
서울특별시,종로구,청운효자동,20200927,F,35,89.91632958,1111051500
서울특별시,종로구,청운효자동,20200823,X,xx,22.479082395,1111051500
서울특별시,종로구,청운효자동,20200929,F,20,29.97210986,1
서울특별시,종로구,청운효자동,20201011,F,60,29.97210986,1111051500
서울특별시,종로구,청운효자동,20200918,F,50,52.451192255,1111051500
서울특별시,종로구,청운효자동,20201029,F,55,22.479082395,1111051500
서울특별시,종로구,청운효자동,20201008,F,40,52.451192255,1111051500
서울특별시,종로구,청운효자동,20200827,F,30,37.465137325,1111051500
서울특별시,종로구,청운효자동,20200829,F,35,44.95816479,1111051500
서울특별시,종로구,청운효자동,20200908,M,55,29.97210986,1111051500
서울특별시,종로구,청운효자동,20200917,F,25,89.91632958,1111051500
서울특별시,종로구,청운효자동,20200927,M,35,67.437247185,1111051500
서울특별시,종로구,청운효자동,20200925,F,20,149.8605493,1111051500
서울특별시,종로구,청운효자동,20200806,F,35,59.94421972,1111051500
서울특별시,종로구,청운효자동,20201010,F,15,22.479082395,1111051500
서울특별시,종로구,청운효자동,20200925,M,30,29.97210986,1111051500
서울특별시,종로구,청운효자동,20200926,F,55,29.97210986,1111051500
서울특별시,종로구,청운효자동,20201009,F,55,37.465137325,1111051500
서울특별시,종로구,청운효자동,20200924,M,45,67.437247185,1
서울특별시,종로구,청운효자동,20200926,F,50,74.93027465,1111051500
서울특별시,종로구,청운효자동,20200805,F,35,22.479082395,1111051500
서울특별시,종로구,청운효자동,20200919,M,50,29.97210986,1111051500
서울특별시,종로구,청운효자동,20201024,F,30,134.87449437,1111051500
서울특별시,종로구,청운효자동,20201022,M,45,44.95816479,1111051500
서울특별시,종로구,청운효자동,20200818,M,60,22.479082395,1111051500
서울특별시,종로구,청운효자동,20200817,M,40,22.479082395,1111051500
서울특별시,종로구,청운효자동,20200812,M,20,74.93027465,1111051500
서울특별시,종로구,청운효자동,20200812,F,25,119.88843944,1111051500
서울특별시,종로구,청운효자동,20201007,M,25,52.451192255,1111051500
서울특별시,종로구,청운효자동,20200816,F,30,134.87449437,1111051500
서울특별시,종로구,청운효자동,20200918,M,40,29.97210986,1111051500
서울특별시,종로구,청운효자동,20200912,F,55,59.94421972,1111051500
서울특별시,종로구,청운효자동,20200918,X,xx,37.465137325,1111051500
서울특별시,종로구,청운효자동,20200824,F,45,22.479082395,1111051500
서울특별시,종로구,청운효자동,20200913,F,20,67.437247185,1
서울특별시,종로구,청운효자동,20201029,M,50,44.95816479,1111051500
서울특별시,종로구,청운효자동,20201029,F,65,22.479082395,1111051500
서울특별시,종로구,청운효자동,20201001,F,50,29.97210986,1111051500
서울특별시,종로구,청운효자동,20200827,M,20,22.479082395,1111051500
서울특별시,종로구,청운효자동,20200827,X,xx,37.465137325,1111051500
서울특별시,종로구,청운효자동,20200828,F,60,52.451192255,1111051500
서울특별시,종로구,청운효자동,20200922,F,70,22.479082395,1111051500
서울특별시,종로구,청운효자동,20201002,M,45,74.93027465,1111051500
서울특별시,종로구,청운효자동,20200916,F,50,52.451192255,1111051500
서울특별시,종로구,청운효자동,20200801,F,30,134.87449437,1111051500
서울특별시,종로구,청운효자동,20201031,M,60,22.479082395,1111051500
서울특별시,종로구,청운효자동,20201031,M,30,119.88843944,1111051500
서울특별시,종로구,청운효자동,20201018,M,55,29.97210986,1111051500
서울특별시,종로구,청운효자동,20200915,F,45,82.423302115,1111051500
서울특별시,종로구,청운효자동,20200821,F,50,29.97210986,1111051500
서울특별시,종로구,청운효자동,20201030,F,30,134.87449437,1
서울특별시,종로구,청운효자동,20201018,M,70,29.97210986,1111051500
서울특별시,종로구,청운효자동,20201028,F,70,22.479082395,1111051500
