tsunami,magnitude,depth,latitude,longitude,Year,Month
1,5.0,12.0,54.514,-159.567,2024,8
1,5.6,34.21,54.1094,-159.702,2024,8
1,5.4,14.8,54.0955,-159.699,2024,8
1,5.4,87.0,54.038,-159.522,2024,8
1,4.6,8.3,59.1053,-139.141,2024,7
1,5.1,44.0,52.306,-174.645,2024,7
1,4.8,69.273,52.042,-174.531,2024,7
1,5.2,52.8,51.8371,-174.491,2024,7
1,4.5,87.8,60.3148,-152.365,2024,7
1,4.4,10.0,50.622,-129.763,2024,7
1,6.0,40.972,52.1259,-170.932,2024,7
1,5.9,39.0,51.777,-170.741,2024,7
0,5.6,16.0,39.9972,35.9796,2024,4
0,5.8,26.873,37.3286,21.3156,2024,3
0,5.4,16.067,42.9936,18.6796,2024,3
0,5.4,39.269,41.1549,49.7415,2023,12
0,5.2,10.0,38.2787,38.2053,2023,8
0,5.5,13.116,37.5831,35.9568,2023,7
0,5.3,53.0,41.746,49.2837,2023,7
0,5.1,6.1279,32.414,-102.057,2024,9
0,6.1,33.882,12.998,-89.5623,2024,8
0,5.4,140.0,16.9087,-93.8167,2024,8
0,5.1,3.2959,32.746,-100.692,2024,7
0,6.2,262.297,14.5566,-89.9665,2024,7
0,6.4,61.91,14.4518,-92.363,2024,5
0,5.4,10.0,18.2141,-105.628,2024,4
0,5.6,10.0,26.2173,-110.508,2024,4
0,5.5,154.0,11.1362,-85.3425,2024,4
0,5.6,48.0,12.3515,-87.6834,2024,3
0,5.6,9.0,9.7781,-86.3237,2024,3
0,5.1,53.382,-34.3923,179.972,2024,8
0,5.1,10.0,-40.2633,176.402,2024,1
0,5.7,401.457,-31.3282,179.732,2023,10
0,5.5,11.712,-43.7064,171.118,2023,9
0,5.1,181.278,-40.1882,173.572,2023,8
0,5.4,10.0,31.1773,70.6295,2024,9
0,5.3,6.0,29.7252,65.3575,2024,3
0,5.5,8.0,29.7645,65.3645,2024,3
0,5.1,38.577,27.1043,59.3301,2024,3
0,6.4,204.0,36.5061,70.5994,2024,1
0,5.4,39.269,41.1549,49.7415,2023,12
0,5.3,10.0,27.7439,56.0776,2023,10
0,5.5,10.0,27.7363,56.1369,2023,10
0,5.4,10.0,34.6012,62.1031,2023,10
0,6.3,9.0,34.6171,62.0517,2023,10
0,6.3,8.0,34.5798,62.0717,2023,10
0,5.9,12.48,34.6391,62.0327,2023,10
0,6.3,8.0,34.5492,61.884,2023,10
0,5.4,10.257,34.5414,61.9547,2023,10
0,6.3,14.0,34.6259,61.926,2023,10
0,5.2,10.0,38.2787,38.2053,2023,8
0,5.8,209.0,36.4512,70.7023,2023,8
0,5.3,53.0,41.746,49.2837,2023,7
0,5.5,15.711,31.6412,131.796,2024,9
0,5.7,28.953,29.7999,130.855,2024,9
0,5.4,11.732,24.3858,121.917,2024,8
