magnitude,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami,is_ocean,is_steep_slope
6.9,0,2.271,15.0,34.0,-8.2581,116.438,2018,8,0,False,False
6.9,63,0.11,210.0,5.81,19.3182,-155.0,2018,5,1,True,True
6.8,0,5.32,16.0,559.0,-20.6588,-63.0058,2018,4,0,False,False
6.9,0,1.487,18.0,35.0,-5.5321,151.5,2018,3,1,True,True
6.7,0,1.507,15.0,40.0,-5.5024,151.402,2018,3,1,False,True
6.8,0,1.049,16.0,22.86,-4.3762,153.2,2018,3,1,True,False
6.7,0,5.457,19.0,20.49,-6.3043,142.612,2018,3,1,False,False
7.5,0,5.48,17.0,25.21,-6.0699,142.754,2018,2,1,False,False
7.2,0,0.142,82.0,22.0,16.3855,-97.9787,2018,2,1,False,False
7.9,0,2.585,30.0,14.06,56.0039,-149.166,2018,1,1,True,False
7.1,0,4.29,23.0,39.0,-15.7675,-74.7092,2018,1,1,True,True
7.5,0,4.581,12.0,19.0,17.4825,-83.52,2018,1,1,True,True
6.5,0,2.365,28.0,90.0,-7.4921,108.174,2017,12,0,False,False
6.5,0,17.654,23.0,17.0,-54.2189,2.1628,2017,12,1,True,True
7.0,0,0.617,14.0,10.0,-21.3246,168.671,2017,11,1,True,True
6.6,0,0.529,21.0,13.0,-21.5027,168.598,2017,11,1,True,True
6.5,0,0.225,37.0,19.36,9.5147,-84.4865,2017,11,1,True,False
7.3,0,0.284,33.0,19.0,34.9109,45.9592,2017,11,0,False,False
6.5,0,4.449,10.0,110.57,-4.2433,143.485,2017,11,1,False,False
6.8,0,4.852,21.0,10.0,-15.3197,-173.168,2017,11,1,True,True
6.6,0,0.788,29.0,22.0,-21.6484,168.859,2017,11,1,True,True
6.7,0,1.062,55.0,24.0,-21.6971,169.148,2017,10,1,True,True
6.7,0,1.634,16.0,553.81,-7.2168,123.074,2017,10,0,True,False
6.5,0,1.154,11.0,119.0,52.3909,176.769,2017,10,1,True,True
7.1,0,0.984,23.0,48.0,18.5499,-98.4887,2017,9,0,False,False
8.2,0,0.944,22.0,47.39,15.0222,-93.8993,2017,9,1,True,True
6.5,0,11.411,22.0,9.0,33.1926,103.855,2017,8,0,False,True
6.6,0,0.913,16.0,7.0,36.9293,27.4139,2017,7,0,True,False
7.7,0,3.564,13.0,10.0,54.4434,168.857,2017,7,1,True,True
6.6,0,3.773,37.0,10.0,-49.4837,164.016,2017,7,1,True,True
6.5,0,4.139,30.0,9.0,11.1269,124.629,2017,7,1,False,False
6.8,0,1.065,38.0,38.12,13.7174,-90.9718,2017,6,1,True,False
6.9,0,0.247,35.0,93.0,14.9091,-92.0092,2017,6,1,False,True
6.8,0,2.308,12.0,5.0,54.0312,170.92,2017,6,1,True,False
6.6,0,2.353,18.0,12.0,-1.2923,120.431,2017,5,0,False,True
6.5,0,6.489,17.0,15.0,-56.414,-25.7432,2017,5,1,True,True
6.8,0,7.495,19.0,169.0,-14.5884,167.377,2017,5,1,True,False
6.9,0,1.636,14.0,26.0,5.5043,125.066,2017,4,1,True,True
6.9,0,0.356,39.0,28.0,-33.0375,-72.0617,2017,4,1,True,True
6.5,0,2.36,15.0,29.0,-22.6784,25.1558,2017,4,0,False,False
6.6,0,4.591,14.0,17.0,56.9401,162.786,2017,3,1,False,True
6.9,0,6.012,19.0,414.5,-23.2593,-178.804,2017,2,1,True,True
6.5,0,4.242,14.0,595.98,-19.2814,-63.9047,2017,2,0,False,False
6.5,0,2.822,36.0,15.0,9.9071,125.452,2017,2,1,True,False
7.9,0,3.625,9.0,135.0,-6.2464,155.172,2017,1,1,False,False
6.5,0,1.64,21.0,36.0,-10.3506,161.335,2017,1,1,True,True
7.3,0,3.813,18.0,627.17,4.4782,122.617,2017,1,1,True,False
6.9,0,2.495,13.0,12.0,-19.3733,176.052,2017,1,1,True,False
7.6,0,0.355,29.0,38.0,-43.4064,-73.9413,2016,12,1,False,False
6.7,0,3.38,17.0,152.0,-7.5082,127.921,2016,12,0,True,True
7.9,0,1.389,13.0,94.54,-4.5049,153.522,2016,12,1,True,True
6.9,0,1.747,26.0,19.73,-10.749,161.132,2016,12,1,True,True
6.5,0,1.937,18.0,12.26,-10.8416,161.314,2016,12,0,True,True
7.8,0,1.836,13.0,40.0,-10.6812,161.327,2016,12,1,True,True
6.6,0,1.405,55.0,8.45,40.4535,-126.194,2016,12,1,True,False
6.5,0,0.778,27.0,13.0,5.2834,96.1678,2016,12,0,True,False
6.6,0,1.697,20.0,17.0,39.2732,73.9776,2016,11,0,False,False
6.9,0,1.796,20.0,10.0,11.9097,-88.8968,2016,11,1,True,True
6.9,0,0.671,10.0,9.0,37.3931,141.387,2016,11,1,True,False
6.5,0,0.283,56.0,9.0,-42.6058,173.254,2016,11,1,False,True
6.5,0,0.135,58.0,10.0,-42.3205,173.669,2016,11,1,False,False
7.8,0,0.481,21.0,15.11,-42.7373,173.054,2016,11,1,False,False
6.6,0,0.174,25.0,8.0,42.8621,13.0961,2016,10,0,False,False
6.6,0,2.022,16.0,614.0,-4.8626,108.163,2016,10,0,True,False
6.8,0,3.727,11.0,42.0,-6.0033,148.887,2016,10,1,False,True
6.9,0,4.051,9.0,596.4,-19.7819,-178.244,2016,9,1,True,True
7.0,0,0.698,21.0,19.0,-37.3586,179.146,2016,9,1,True,True
6.8,0,0.803,12.0,476.0,-3.6849,152.792,2016,8,1,True,False
6.8,0,1.802,17.0,82.0,20.9228,94.569,2016,8,0,False,False
7.2,0,4.823,14.0,16.37,-22.4765,173.117,2016,8,1,True,True
7.7,0,3.294,14.0,196.0,18.5429,145.507,2016,7,1,True,False
6.6,0,2.435,16.0,50.0,-2.0967,100.665,2016,6,0,True,False
7.2,0,5.803,24.0,78.0,-56.2409,-26.9353,2016,5,1,True,True
6.9,0,5.485,19.0,405.69,-21.9724,-178.204,2016,5,1,True,False
6.9,0,1.192,17.0,29.95,0.4947,-79.616,2016,5,1,False,False
6.7,0,1.352,21.0,16.0,0.4261,-79.7899,2016,5,1,False,False
7.0,0,0.616,14.0,24.0,-16.0429,167.379,2016,4,1,False,True
7.8,0,1.44,15.0,20.59,0.3819,-79.9218,2016,4,1,False,False
7.0,0,0.349,32.0,10.0,32.7906,130.754,2016,4,1,False,False
6.9,0,3.001,14.0,136.0,23.0944,94.8654,2016,4,0,False,False
6.6,0,0.789,17.0,212.0,36.4725,71.1311,2016,4,0,False,False
6.7,0,6.787,25.0,27.59,-13.9805,166.594,2016,4,1,True,False
6.7,0,6.697,19.0,24.0,-14.0683,166.624,2016,4,1,True,True
6.9,0,1.166,25.0,26.0,-14.3235,166.855,2016,4,1,True,True
7.8,0,7.009,20.0,24.0,-4.9521,94.3299,2016,3,0,True,False
7.2,0,0.958,17.0,177.0,53.9776,158.546,2016,1,1,False,False
7.1,0,0.0,0.0,125.6,59.6204,-153.339,2016,1,1,False,False
6.6,0,2.413,74.0,10.0,18.8239,-106.934,2016,1,1,True,False
6.7,0,0.281,22.0,46.0,41.9723,142.781,2016,1,1,True,False
6.5,0,3.144,22.0,13.0,3.8965,126.862,2016,1,1,True,True
6.7,0,1.794,16.0,55.0,24.8036,93.6505,2016,1,0,False,False
6.6,0,0.41,35.0,85.0,15.8015,-93.633,2015,12,1,False,False
6.9,0,2.979,14.0,21.0,-4.1064,129.508,2015,12,0,True,False
7.2,0,1.116,18.0,22.0,38.2107,72.7797,2015,12,0,False,False
6.7,0,2.033,19.0,602.75,-9.1825,-71.2574,2015,11,0,False,False
7.6,0,2.852,10.0,620.56,-10.0598,-71.0184,2015,11,0,False,False
7.6,0,3.287,10.0,606.21,-10.5372,-70.9437,2015,11,1,False,False
6.8,0,1.599,19.0,12.59,-8.8994,158.422,2015,11,1,True,True
6.5,0,0.0,0.0,11.0,38.67,20.6,2015,11,0,False,True
6.7,0,1.444,17.0,12.0,31.0009,128.873,2015,11,0,True,False
6.9,0,0.821,43.0,10.0,-29.5097,-72.0585,2015,11,0,True,True
6.9,0,0.784,32.0,12.0,-29.5067,-72.0068,2015,11,1,True,True
6.6,0,2.792,31.0,10.0,6.8431,94.648,2015,11,0,True,False
6.8,0,0.258,41.0,46.0,-30.8796,-71.4519,2015,11,1,False,True
6.5,0,1.53,21.0,20.0,-8.3381,124.875,2015,11,0,False,True
7.5,0,0.622,18.0,231.0,36.5244,70.3676,2015,10,0,False,False
7.1,0,0.592,11.0,135.0,-14.8595,167.303,2015,10,1,True,False
6.6,0,2.486,13.0,18.0,-0.6212,131.262,2015,9,0,True,False
6.6,0,1.064,14.0,35.0,-31.7275,-71.3792,2015,9,1,False,True
6.7,0,0.853,35.0,23.0,-31.5173,-71.804,2015,9,0,True,True
6.5,0,0.749,62.0,27.0,-31.4244,-71.6876,2015,9,0,True,True
7.0,0,0.903,13.0,28.41,-31.5622,-71.4262,2015,9,0,False,True
8.3,0,0.684,19.0,22.44,-31.5729,-71.6744,2015,9,1,True,True
6.7,0,1.256,123.0,10.0,24.913,-109.623,2015,9,1,True,False
6.5,0,2.045,16.0,6.43,-9.3293,157.877,2015,8,1,True,True
6.6,0,1.872,20.0,22.0,-9.3438,158.053,2015,8,1,True,True
7.0,0,6.278,12.0,48.0,-2.6286,138.528,2015,7,1,False,False
6.9,0,0.444,39.0,29.0,52.376,-169.446,2015,7,1,True,True
7.0,0,5.205,22.0,11.0,-10.4012,165.141,2015,7,1,True,False
6.5,0,1.218,20.0,20.0,13.8672,-58.5479,2015,7,1,True,False
6.7,0,1.529,11.0,12.0,-9.307,158.403,2015,7,1,True,False
6.5,0,2.277,11.0,460.0,27.7375,139.725,2015,6,0,True,False
7.8,0,1.675,12.0,664.0,27.8386,140.493,2015,5,1,True,False
6.8,0,0.0,0.0,72.6,56.594,-156.43,2015,5,1,True,False
6.8,0,3.619,18.0,10.0,-11.1093,163.215,2015,5,1,True,True
6.9,0,4.024,22.0,11.19,-11.0559,163.696,2015,5,1,True,True
6.8,0,4.395,15.0,11.0,-10.8759,164.169,2015,5,1,True,True
6.8,0,1.422,8.0,35.0,38.9056,142.032,2015,5,1,True,False
7.3,0,0.677,11.0,15.0,27.8087,86.0655,2015,5,0,False,True
7.1,0,3.835,11.0,10.0,-7.2175,154.557,2015,5,1,True,True
7.5,0,1.295,22.0,55.0,-5.4624,151.875,2015,5,1,False,True
