magnitude,dmin,gap,depth,latitude,longitude,tsunami,is_ocean,is_steep_slope
6.8,2.268,15.0,14.0,37.5203,20.5565,0,1,1
6.5,1.692,68.0,10.0,49.297,-129.724,0,1,0
6.8,1.505,36.0,10.0,49.3346,-129.289,1,1,0
6.5,1.611,63.0,10.0,49.2586,-129.412,1,1,0
6.5,2.109,22.0,17.0,-21.7427,169.522,1,1,1
6.7,2.705,17.0,461.0,52.8549,153.243,1,1,0
6.5,3.923,14.0,20.0,49.2902,156.297,1,1,1
7.0,1.778,18.0,39.0,-5.7012,151.205,1,0,1
6.7,3.745,23.0,550.0,-18.3604,-178.063,1,1,0
7.5,1.649,13.0,20.0,-0.2559,119.846,0,0,0
6.5,5.139,18.0,576.0,-25.415,178.199,0,1,0
6.9,2.785,18.0,115.0,-31.7447,-179.373,0,1,0
6.5,1.638,25.0,68.0,-10.0207,161.503,1,1,0
7.9,1.431,12.0,670.81,-18.4743,179.35,1,1,1
6.6,1.13,32.0,35.0,42.6861,141.929,1,0,0
7.1,2.548,23.0,21.43,-22.0295,170.126,1,1,1
7.1,3.77,12.0,630.0,-11.0355,-70.8284,0,0,0
6.5,4.797,10.0,9.0,-16.0315,168.143,1,1,0
7.3,1.822,15.0,146.82,10.7731,-62.9019,1,1,0
6.9,2.453,31.0,21.0,-8.319,116.627,0,0,0
8.2,3.63,13.0,600.0,-18.1125,-178.153,1,1,0
6.5,2.719,23.0,529.0,-7.3718,119.802,0,1,1
6.5,0.576,22.0,33.93,51.4234,-178.026,1,1,1
6.9,2.271,15.0,34.0,-8.2581,116.438,0,0,0
6.9,0.11,210.0,5.81,19.3182,-155.0,1,1,1
6.8,5.32,16.0,559.0,-20.6588,-63.0058,0,0,0
6.9,1.487,18.0,35.0,-5.5321,151.5,1,1,1
6.7,1.507,15.0,40.0,-5.5024,151.402,1,0,1
6.8,1.049,16.0,22.86,-4.3762,153.2,1,1,0
6.7,5.457,19.0,20.49,-6.3043,142.612,1,0,0
7.5,5.48,17.0,25.21,-6.0699,142.754,1,0,0
7.2,0.142,82.0,22.0,16.3855,-97.9787,1,0,0
7.9,2.585,30.0,14.06,56.0039,-149.166,1,1,0
7.1,4.29,23.0,39.0,-15.7675,-74.7092,1,1,1
7.5,4.581,12.0,19.0,17.4825,-83.52,1,1,1
6.5,2.365,28.0,90.0,-7.4921,108.174,0,0,0
6.5,17.654,23.0,17.0,-54.2189,2.1628,1,1,1
7.0,0.617,14.0,10.0,-21.3246,168.671,1,1,1
6.6,0.529,21.0,13.0,-21.5027,168.598,1,1,1
6.5,0.225,37.0,19.36,9.5147,-84.4865,1,1,0
7.3,0.284,33.0,19.0,34.9109,45.9592,0,0,0
6.5,4.449,10.0,110.57,-4.2433,143.485,1,0,0
6.8,4.852,21.0,10.0,-15.3197,-173.168,1,1,1
6.6,0.788,29.0,22.0,-21.6484,168.859,1,1,1
6.7,1.062,55.0,24.0,-21.6971,169.148,1,1,1
6.7,1.634,16.0,553.81,-7.2168,123.074,0,1,0
6.5,1.154,11.0,119.0,52.3909,176.769,1,1,1
7.1,0.984,23.0,48.0,18.5499,-98.4887,0,0,0
8.2,0.944,22.0,47.39,15.0222,-93.8993,1,1,1
6.5,11.411,22.0,9.0,33.1926,103.855,0,0,1
6.6,0.913,16.0,7.0,36.9293,27.4139,0,1,0
7.7,3.564,13.0,10.0,54.4434,168.857,1,1,1
6.6,3.773,37.0,10.0,-49.4837,164.016,1,1,1
6.5,4.139,30.0,9.0,11.1269,124.629,1,0,0
6.8,1.065,38.0,38.12,13.7174,-90.9718,1,1,0
6.9,0.247,35.0,93.0,14.9091,-92.0092,1,0,1
6.8,2.308,12.0,5.0,54.0312,170.92,1,1,0
6.6,2.353,18.0,12.0,-1.2923,120.431,0,0,1
6.5,6.489,17.0,15.0,-56.414,-25.7432,1,1,1
6.8,7.495,19.0,169.0,-14.5884,167.377,1,1,0
6.9,1.636,14.0,26.0,5.5043,125.066,1,1,1
6.9,0.356,39.0,28.0,-33.0375,-72.0617,1,1,1
6.5,2.36,15.0,29.0,-22.6784,25.1558,0,0,0
6.6,4.591,14.0,17.0,56.9401,162.786,1,0,1
6.9,6.012,19.0,414.5,-23.2593,-178.804,1,1,1
6.5,4.242,14.0,595.98,-19.2814,-63.9047,0,0,0
6.5,2.822,36.0,15.0,9.9071,125.452,1,1,0
7.9,3.625,9.0,135.0,-6.2464,155.172,1,0,0
6.5,1.64,21.0,36.0,-10.3506,161.335,1,1,1
7.3,3.813,18.0,627.17,4.4782,122.617,1,1,0
6.9,2.495,13.0,12.0,-19.3733,176.052,1,1,0
7.6,0.355,29.0,38.0,-43.4064,-73.9413,1,0,0
6.7,3.38,17.0,152.0,-7.5082,127.921,0,1,1
7.9,1.389,13.0,94.54,-4.5049,153.522,1,1,1
6.9,1.747,26.0,19.73,-10.749,161.132,1,1,1
6.5,1.937,18.0,12.26,-10.8416,161.314,0,1,1
7.8,1.836,13.0,40.0,-10.6812,161.327,1,1,1
6.6,1.405,55.0,8.45,40.4535,-126.194,1,1,0
6.5,0.778,27.0,13.0,5.2834,96.1678,0,1,0
6.6,1.697,20.0,17.0,39.2732,73.9776,0,0,0
6.9,1.796,20.0,10.0,11.9097,-88.8968,1,1,1
6.9,0.671,10.0,9.0,37.3931,141.387,1,1,0
6.5,0.283,56.0,9.0,-42.6058,173.254,1,0,1
6.5,0.135,58.0,10.0,-42.3205,173.669,1,0,0
7.8,0.481,21.0,15.11,-42.7373,173.054,1,0,0
6.6,0.174,25.0,8.0,42.8621,13.0961,0,0,0
6.6,2.022,16.0,614.0,-4.8626,108.163,0,1,0
6.8,3.727,11.0,42.0,-6.0033,148.887,1,0,1
6.9,4.051,9.0,596.4,-19.7819,-178.244,1,1,1
7.0,0.698,21.0,19.0,-37.3586,179.146,1,1,1
6.8,0.803,12.0,476.0,-3.6849,152.792,1,1,0
6.8,1.802,17.0,82.0,20.9228,94.569,0,0,0
7.2,4.823,14.0,16.37,-22.4765,173.117,1,1,1
7.7,3.294,14.0,196.0,18.5429,145.507,1,1,0
6.6,2.435,16.0,50.0,-2.0967,100.665,0,1,0
7.2,5.803,24.0,78.0,-56.2409,-26.9353,1,1,1
6.9,5.485,19.0,405.69,-21.9724,-178.204,1,1,0
6.9,1.192,17.0,29.95,0.4947,-79.616,1,0,0
6.7,1.352,21.0,16.0,0.4261,-79.7899,1,0,0
7.0,0.616,14.0,24.0,-16.0429,167.379,1,0,1
7.8,1.44,15.0,20.59,0.3819,-79.9218,1,0,0
7.0,0.349,32.0,10.0,32.7906,130.754,1,0,0
6.9,3.001,14.0,136.0,23.0944,94.8654,0,0,0
6.6,0.789,17.0,212.0,36.4725,71.1311,0,0,0
6.7,6.787,25.0,27.59,-13.9805,166.594,1,1,0
6.7,6.697,19.0,24.0,-14.0683,166.624,1,1,1
6.9,1.166,25.0,26.0,-14.3235,166.855,1,1,1
7.8,7.009,20.0,24.0,-4.9521,94.3299,0,1,0
7.2,0.958,17.0,177.0,53.9776,158.546,1,0,0
7.1,0.0,0.0,125.6,59.6204,-153.339,1,0,0
6.6,2.413,74.0,10.0,18.8239,-106.934,1,1,0
6.7,0.281,22.0,46.0,41.9723,142.781,1,1,0
6.5,3.144,22.0,13.0,3.8965,126.862,1,1,1
6.7,1.794,16.0,55.0,24.8036,93.6505,0,0,0
6.6,0.41,35.0,85.0,15.8015,-93.633,1,0,0
6.9,2.979,14.0,21.0,-4.1064,129.508,0,1,0
7.2,1.116,18.0,22.0,38.2107,72.7797,0,0,0
6.7,2.033,19.0,602.75,-9.1825,-71.2574,0,0,0
7.6,2.852,10.0,620.56,-10.0598,-71.0184,0,0,0
7.6,3.287,10.0,606.21,-10.5372,-70.9437,1,0,0
6.8,1.599,19.0,12.59,-8.8994,158.422,1,1,1
6.5,0.0,0.0,11.0,38.67,20.6,0,0,1
6.7,1.444,17.0,12.0,31.0009,128.873,0,1,0
6.9,0.821,43.0,10.0,-29.5097,-72.0585,0,1,1
6.9,0.784,32.0,12.0,-29.5067,-72.0068,1,1,1
6.6,2.792,31.0,10.0,6.8431,94.648,0,1,0
6.8,0.258,41.0,46.0,-30.8796,-71.4519,1,0,1
6.5,1.53,21.0,20.0,-8.3381,124.875,0,0,1
7.5,0.622,18.0,231.0,36.5244,70.3676,0,0,0
7.1,0.592,11.0,135.0,-14.8595,167.303,1,1,0
6.6,2.486,13.0,18.0,-0.6212,131.262,0,1,0
6.6,1.064,14.0,35.0,-31.7275,-71.3792,1,0,1
6.7,0.853,35.0,23.0,-31.5173,-71.804,0,1,1
6.5,0.749,62.0,27.0,-31.4244,-71.6876,0,1,1
7.0,0.903,13.0,28.41,-31.5622,-71.4262,0,0,1
8.3,0.684,19.0,22.44,-31.5729,-71.6744,1,1,1
6.7,1.256,123.0,10.0,24.913,-109.623,1,1,0
6.5,2.045,16.0,6.43,-9.3293,157.877,1,1,1
6.6,1.872,20.0,22.0,-9.3438,158.053,1,1,1
7.0,6.278,12.0,48.0,-2.6286,138.528,1,0,0
6.9,0.444,39.0,29.0,52.376,-169.446,1,1,1
7.0,5.205,22.0,11.0,-10.4012,165.141,1,1,0
6.5,1.218,20.0,20.0,13.8672,-58.5479,1,1,0
6.7,1.529,11.0,12.0,-9.307,158.403,1,1,0
6.5,2.277,11.0,460.0,27.7375,139.725,0,1,0
7.8,1.675,12.0,664.0,27.8386,140.493,1,1,0
6.8,0.0,0.0,72.6,56.594,-156.43,1,1,0
6.8,3.619,18.0,10.0,-11.1093,163.215,1,1,1
6.9,4.024,22.0,11.19,-11.0559,163.696,1,1,1
6.8,4.395,15.0,11.0,-10.8759,164.169,1,1,1
6.8,1.422,8.0,35.0,38.9056,142.032,1,1,0
7.3,0.677,11.0,15.0,27.8087,86.0655,0,0,1
7.1,3.835,11.0,10.0,-7.2175,154.557,1,1,1
7.5,1.295,22.0,55.0,-5.4624,151.875,1,0,1
6.8,1.074,23.0,44.0,-5.2005,151.777,1,0,1
6.7,1.239,12.0,31.0,-5.375,151.771,1,0,1
6.7,0.727,13.0,22.91,27.7711,86.0173,0,0,0
6.6,1.778,16.0,10.0,28.2244,84.8216,0,0,1
7.8,1.857,12.0,8.22,28.2305,84.7314,0,0,1
6.5,3.702,42.0,10.0,-15.8815,-178.6,1,1,1
6.5,4.629,36.0,11.0,-15.4994,-173.029,1,1,1
7.5,0.666,19.0,41.0,-4.7294,152.562,1,1,1
7.0,1.362,12.0,552.06,-7.2968,122.535,0,1,0
6.7,1.925,20.0,23.0,39.8558,142.881,1,1,0
6.7,2.11,16.0,223.0,-23.1125,-66.688,1,0,0
6.8,2.019,13.0,219.96,-17.0309,168.52,1,1,0
